Riser Stretch,Stress (Elastic),Yield Strength (125ksi)
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.03,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.04,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.05,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.06,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.07,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.08,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.09,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.1,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.11,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.12,9,125
0.13,9,125
0.13,9,125
0.13,9,125
0.13,9,125
0.13,9,125
0.13,9,125
0.13,9.05,125
0.13,9.09,125
0.13,9.14,125
0.13,9.18,125
0.13,9.23,125
0.13,9.27,125
0.13,9.32,125
0.13,9.36,125
0.13,9.41,125
0.13,9.45,125
0.13,9.5,125
0.13,9.54,125
0.13,9.59,125
0.13,9.63,125
0.13,9.68,125
0.13,9.72,125
0.13,9.77,125
0.13,9.81,125
0.13,9.86,125
0.13,9.9,125
0.13,9.95,125
0.13,9.99,125
0.13,10.04,125
0.13,10.08,125
0.13,10.13,125
0.13,10.17,125
0.13,10.22,125
0.13,10.26,125
0.13,10.31,125
0.13,10.35,125
0.13,10.4,125
0.13,10.44,125
0.13,10.49,125
0.13,10.53,125
0.13,10.58,125
0.13,10.62,125
0.13,10.67,125
0.13,10.71,125
0.13,10.76,125
0.13,10.8,125
0.13,10.85,125
0.13,10.89,125
0.13,10.94,125
0.13,10.98,125
0.13,11.03,125
0.14,11.07,125
0.14,11.12,125
0.14,11.16,125
0.14,11.21,125
0.14,11.25,125
0.14,11.3,125
0.14,11.34,125
0.14,11.39,125
0.14,11.43,125
0.14,11.48,125
0.14,11.52,125
0.14,11.57,125
0.14,11.61,125
0.14,11.66,125
0.14,11.7,125
0.14,11.75,125
0.14,11.79,125
0.14,11.84,125
0.14,11.88,125
0.14,11.93,125
0.14,11.97,125
0.14,12.02,125
0.14,12.06,125
0.14,12.11,125
0.14,12.15,125
0.14,12.2,125
0.14,12.24,125
0.14,12.29,125
0.14,12.33,125
0.14,12.38,125
0.14,12.42,125
0.14,12.47,125
0.14,12.51,125
0.14,12.56,125
0.14,12.6,125
0.14,12.65,125
0.14,12.69,125
0.14,12.74,125
0.14,12.78,125
0.14,12.83,125
0.14,12.87,125
0.14,12.92,125
0.14,12.96,125
0.14,13.01,125
0.14,13.05,125
0.14,13.1,125
0.14,13.14,125
0.14,13.19,125
0.14,13.23,125
0.14,13.28,125
0.15,13.32,125
0.15,13.37,125
0.15,13.41,125
0.15,13.46,125
0.15,13.5,125
0.15,13.55,125
0.15,13.59,125
0.15,13.64,125
0.15,13.68,125
0.15,13.73,125
0.15,13.77,125
0.15,13.82,125
0.15,13.86,125
0.15,13.91,125
0.15,13.95,125
0.15,14,125
0.15,14.04,125
0.15,14.09,125
0.15,14.13,125
0.15,14.18,125
0.15,14.22,125
0.15,14.27,125
0.15,14.31,125
0.15,14.36,125
0.15,14.4,125
0.15,14.45,125
0.15,14.49,125
0.15,14.54,125
0.15,14.58,125
0.15,14.63,125
0.15,14.67,125
0.15,14.72,125
0.15,14.76,125
0.15,14.81,125
0.15,14.85,125
0.15,14.9,125
0.15,14.94,125
0.15,14.99,125
0.15,15.03,125
0.15,15.08,125
0.15,15.12,125
0.15,15.17,125
0.16,15.21,125
0.16,15.26,125
0.16,15.3,125
0.16,15.35,125
0.16,15.39,125
0.16,15.44,125
0.16,15.48,125
0.16,15.53,125
0.16,15.57,125
0.16,15.62,125
0.16,15.66,125
0.16,15.71,125
0.16,15.75,125
0.16,15.8,125
0.16,15.84,125
0.16,15.89,125
0.16,15.93,125
0.16,15.98,125
0.16,16.02,125
0.16,16.07,125
0.16,16.11,125
0.16,16.16,125
0.16,16.2,125
0.16,16.25,125
0.16,16.29,125
0.16,16.34,125
0.16,16.38,125
0.16,16.43,125
0.16,16.47,125
0.16,16.52,125
0.16,16.56,125
0.16,16.61,125
0.16,16.65,125
0.16,16.7,125
0.16,16.74,125
0.16,16.79,125
0.16,16.83,125
0.16,16.88,125
0.16,16.92,125
0.16,16.97,125
0.17,17.01,125
0.17,17.06,125
0.17,17.1,125
0.17,17.15,125
0.17,17.19,125
0.17,17.24,125
0.17,17.28,125
0.17,17.33,125
0.17,17.37,125
0.17,17.42,125
0.17,17.46,125
0.17,17.51,125
0.17,17.55,125
0.17,17.6,125
0.17,17.64,125
0.17,17.69,125
