Mooring line length,Static,Wind,Current,All
0,739.0627489,572.3836885,588.1209285,449.2461256
5,734.3911267,567.4563284,583.3309442,441.4261098
15,726.0811871,558.7376461,574.5014156,431.388869
25,718.0874606,550.3167109,565.8978104,422.4238062
35,710.1789469,541.9944273,557.3728478,413.3989153
45,702.3583835,533.7753747,548.9303107,404.3317167
55,694.6289063,525.6644308,540.5751266,395.3646132
65,686.9934518,517.6666726,532.3116757,386.5317
75,679.4552553,509.7874259,524.1444874,377.8386014
85,672.0175522,502.0322156,516.0861545,369.3077157
95,664.6837769,494.4069648,508.156039,360.9626607
105,660.9743326,490.5593483,504.1588024,356.7728492
115,660.8091333,490.3881761,503.9907162,356.5881883
125,660.6440335,490.2171035,503.8224806,356.4030296
135,660.4789835,490.0460806,503.6541953,356.2173733
145,660.3139833,489.8751075,503.48591,356.0311943
155,660.1490328,489.704234,503.3175252,355.8445424
165,659.9841321,489.53346,503.1491403,355.6573679
175,659.8192812,489.362686,502.9807057,355.4696957
185,659.6545298,489.1920613,502.8122213,355.2815506
195,659.4898282,489.0214864,502.6437866,355.0929327
205,659.3251764,488.8509612,502.4753022,354.9038419
215,659.1605744,488.6805356,502.3068178,354.7143281
225,658.9960221,488.5101598,502.1383334,354.5243663
235,658.8315196,488.3398836,501.969849,354.3339814
245,658.6671166,488.1696571,501.8013646,354.1432232
255,658.5027137,487.9995301,501.6328802,353.9521166
265,658.3384103,487.829453,501.4644456,353.7606367
275,658.1741566,487.6594256,501.2960109,353.5688083
285,658.0099528,487.4895475,501.1275763,353.3766565
295,657.8458485,487.3196694,500.9591914,353.1841562
305,657.6817442,487.1498909,500.7908066,352.9913075
315,657.5177394,486.9802119,500.6224715,352.7981353
325,657.3537844,486.8105827,500.4541364,352.6045897
335,657.1898792,486.6410531,500.2858511,352.4106709
345,657.0260237,486.4715732,500.1176156,352.2163788
355,656.8622181,486.3021928,499.94938,352.0216884
365,656.698512,486.1328623,499.7811943,351.8266248
375,656.5348058,485.9635815,499.6130583,351.6312128
385,656.3711993,485.7944002,499.4449223,351.4354025
395,656.2076425,485.6253186,499.2768858,351.2392688
405,656.0441354,485.4562866,499.1088494,351.0427866
415,655.8806782,485.2873543,498.9408627,350.845956
425,655.7173205,485.1184717,498.7729258,350.6488267
435,655.5540126,484.9496886,498.6050387,350.4513988
445,655.3907544,484.7809553,498.4372014,350.2536972
455,655.227546,484.6123216,498.2694138,350.0557467
465,655.0643874,484.4437377,498.101676,349.8575473
475,654.9012786,484.2752532,497.933988,349.6590742
485,654.7382693,484.1068186,497.7663995,349.460377
495,654.57526,483.9384835,497.598811,349.2614062
505,654.4123503,483.7701982,497.4312723,349.0621864
515,654.2494903,483.6020125,497.2637834,348.862668
525,654.0867299,483.4338765,497.096394,348.6628759
535,653.9239695,483.26584,496.9290544,348.4627851
545,653.7613086,483.0978534,496.7617645,348.2623957
555,653.5986975,482.9299662,496.5944747,348.0617076
565,653.4361362,482.7621787,496.4273342,347.860696
575,653.2736247,482.5944409,496.2601937,347.6594106
585,653.1111629,482.4267528,496.0931527,347.4578017
595,652.9488007,482.2592141,495.9261117,347.2559191
605,652.7864882,482.0916754,495.7591703,347.0537378
615,652.6242255,481.9242363,495.5922787,346.8512828
625,652.4620126,481.7568967,495.4254866,346.6485789
635,652.2998495,481.5896068,495.2587443,346.4456012
645,652.1377859,481.4224165,495.0920517,346.2423995
655,651.9757721,481.255276,494.9254089,346.0389739
665,651.8138081,481.0882351,494.7588159,345.8353492
675,651.6518938,480.9212936,494.5923225,345.6315253
685,651.4900293,480.754402,494.4258788,345.4275522
695,651.3282146,480.5875601,494.2595347,345.2234048
705,651.1664994,480.4208178,494.0931905,345.0190833
715,651.004834,480.254175,493.926946,344.8146124
725,650.8432184,480.087582,493.7608009,344.6099922
735,650.6817023,479.9210886,493.5947057,344.4051978
745,650.5201863,479.7546449,493.4286602,344.2002043
755,650.3587698,479.5883008,493.2626645,343.9950366
765,650.197403,479.4220562,493.0967683,343.7896449
775,650.036086,479.2558614,492.9309219,343.5840541
785,649.8748188,479.0897661,492.7651253,343.3782393
795,649.7136512,478.9237206,492.5994282,343.1722005
805,649.5525333,478.7577249,492.4338307,342.9659627
815,649.3914652,478.5918785,492.2682331,342.7595257
825,649.2304469,478.4260819,492.1027352,342.5528648
835,649.0694783,478.260335,491.9373367,342.3460296
845,648.9086093,478.0946877,491.7719881,342.1390203
855,648.74779,477.92914,491.6066892,341.9318367
865,648.5870206,477.763642,491.4414401,341.724479
875,648.4263009,477.5982436,491.2763403,341.5169968
885,648.265631,477.4328949,491.1112405,341.3093652
895,648.1050606,477.2676458,490.9462403,341.1015844
905,647.94454,477.1024963,490.7812898,340.8936791
915,647.7840692,476.9373965,490.6164389,340.6856494
925,647.6236481,476.7723962,490.4516875,340.4774704
935,647.4633266,476.6074458,490.2869362,340.2691918
945,647.3030051,476.4425948,490.1222843,340.0607888
955,647.1427832,476.2777937,489.9577321,339.8522862
965,646.9826608,476.1131419,489.7932296,339.643709
975,646.8225384,475.9484901,489.6288266,339.4350073
985,646.6625155,475.7839876,489.4644734,339.226231
995,646.5025424,475.6194851,489.30017,339.0173551
1005,646.3426191,475.4551319,489.1359662,338.8084295
1015,646.1827456,475.2908285,488.9718121,338.5994043
1025,646.0229716,475.1266246,488.8077576,338.3903045
1035,645.8631976,474.9624705,488.6438026,338.1811299
1045,645.7035232,474.798416,488.4798973,337.9719057
1055,645.5439483,474.634461,488.3160419,337.7626067
1065,645.3843734,474.4705558,488.152286,337.5532331
1075,645.2248981,474.3067501,487.9885799,337.3438346
1085,645.0654725,474.1429942,487.8249733,337.1343863
1095,644.9060967,473.9793379,487.6614165,336.9248883
1105,644.7467707,473.8157811,487.4979593,336.7153654
1115,644.5875442,473.6522741,487.3345518,336.5058176
1125,644.4283675,473.4888666,487.1712439,336.2962449
1135,644.2692406,473.3255587,487.0080355,336.0866722
1145,644.1101634,473.1623005,486.8448271,335.8770995
1155,643.9511858,472.9991419,486.681768,335.6675268
1165,643.792258,472.8360331,486.5187588,335.4579541
1175,643.6333799,472.6730238,486.3557992,335.2484062
1185,643.4745516,472.510114,486.1929393,335.0388833
1195,643.3158229,472.3472541,486.0301789,334.8293853
1205,643.1570942,472.1844937,485.8674682,334.6199619
1215,642.998465,472.0218328,485.7048074,334.4106132
1225,642.8399353,471.8592217,485.5422958,334.2014138
1235,642.6814057,471.6967101,485.3797843,333.9924135
1245,642.5229756,471.5342484,485.2173723,333.7836869
1255,642.3645953,471.3718861,485.0550598,333.5737409
1265,642.2062647,471.2096235,484.8928469,333.3646162
1275,642.0480337,471.0474603,484.7306838,333.1555412
1285,641.8898525,470.885347,484.5685704,332.9465409
1295,641.7317211,470.7233332,484.4065566,332.7376153
1305,641.5736394,470.5613691,484.2446423,332.5287643
1315,641.4156075,470.3995047,484.0827779,332.319988
1325,641.2576751,470.2377397,483.9210129,332.1113112
1335,641.0997925,470.0760245,483.7593475,331.9027091
1345,640.9420095,469.9144587,483.5977319,331.6942314
1355,640.7842265,469.7528929,483.4362158,331.4858284
1365,640.626543,469.5914763,483.2747495,331.2775498
1375,640.4689093,469.4301096,483.1133828,331.0693957
1385,640.3113253,469.2687926,482.9520658,330.8613411
1395,640.1538409,469.107625,482.7908484,330.6534109
1405,639.9964063,468.9465071,482.6297305,330.4456052
1415,639.8390215,468.7854887,482.4687122,330.2379488
1425,639.6816864,468.6245202,482.3077436,330.0304417
1435,639.5244509,468.4636512,482.1468248,329.823059
1445,639.3672651,468.3028817,481.9860056,329.6265271
1455,639.2101292,468.1422118,481.8252859,329.4402236
1465,639.0530927,467.9815916,481.6646658,329.2541442
1475,638.8960563,467.8210711,481.5040954,329.0682887
1485,638.7391194,467.6606002,481.3436246,328.8826821
1495,638.5822821,467.500229,481.1832035,328.6972746
1505,638.4254448,467.3399572,481.022882,328.5120662
1515,638.268707,467.1797851,480.8626601,328.3271066
1525,638.112019,467.0196627,480.7024879,328.1423711
1535,637.9553808,466.8596398,480.5424153,327.9578346
1545,637.7988421,466.6997165,480.3824422,327.773547
1555,637.6423531,466.539843,480.2225189,327.5895083
1565,637.485914,466.380069,480.0626951,327.4057184
1575,637.3295744,466.2203945,479.9029709,327.2221774
1585,637.1732348,466.0607699,479.7432965,327.0389102
1595,637.0169948,465.9012945,479.5837216,326.8559167
1605,636.8608543,465.7418689,479.4242462,326.673197
1615,636.7047138,465.5824932,479.2648207,326.4907759
1625,636.5486728,465.4232169,479.1054946,326.3086535
1635,636.3926817,465.2640402,478.9462184,326.1268297
1645,636.23679,465.104963,478.7870915,325.9453045
1655,636.0809482,464.9459854,478.6280143,325.7640531
1665,635.9251561,464.7870576,478.4689869,325.5831253
1675,635.7694138,464.6282293,478.3100591,325.4024712
1685,635.6137213,464.4694508,478.1512308,325.2220908
1695,635.4581283,464.3108216,477.9925021,325.0419842
1705,635.3025851,464.1522422,477.8338231,324.8621514
1715,635.1471414,463.9937623,477.6752437,324.6826172
1725,634.9917475,463.8353323,477.5167638,324.503307
1735,634.8364034,463.6770017,477.3583337,324.3242954
1745,634.681109,463.5187707,477.2000032,324.1455327
1755,634.5259142,463.3606393,477.0417722,323.9670438
1765,634.3707692,463.2025576,476.883591,323.7888286
1775,634.215674,463.0446252,476.7255093,323.6108871
1785,634.0606285,462.8867426,476.5675272,323.4332443
1795,633.9056826,462.7289098,476.4095948,323.2558753
1805,633.7507864,462.5712263,476.251762,323.0788049
1815,633.5959898,462.4135926,476.0940287,322.9020332
1825,633.441243,462.2560585,475.9363452,322.7255849
1835,633.2865459,462.0985741,475.7787613,322.5494105
1845,633.1318987,461.941239,475.6212769,322.3735844
1855,632.9773509,461.7839537,475.4638921,322.198057
1865,632.8228032,461.626768,475.306557,322.0228532
1875,632.6684048,461.469632,475.1493215,321.8479728
1885,632.5140064,461.3126453,474.9921855,321.6734409
1895,632.3597075,461.1557085,474.8350993,321.4992076
1905,632.2054584,460.9988711,474.6781127,321.3253227
1915,632.0513089,460.8421333,474.5212256,321.1517614
1925,631.8972091,460.6854453,474.3643882,320.9785485
1935,631.7431591,460.5288569,474.2077002,320.8056342
1945,631.5891589,460.372368,474.051062,320.6330683
1955,631.4352582,460.2159786,473.8944735,320.4608509
1965,631.2814073,460.0596888,473.7380344,320.2889321
1975,631.1276062,459.9034487,473.581645,320.1173368
1985,630.9739046,459.7473082,473.4253054,319.94609
1995,630.8202528,459.5912673,473.2691151,319.7751418
2005,630.6666507,459.4352761,473.1129746,319.604542
2015,630.5131483,459.2794343,472.9569337,319.4342408
2025,630.3596955,459.1236422,472.8009923,319.2642632
2035,630.2062926,458.9679496,472.6451007,319.0946091
2045,630.0529892,458.8123567,472.4893584,318.9252785
2055,629.8997356,458.6568134,472.333616,318.7562715
2065,629.7465318,458.5014196,472.1780231,318.5875631
2075,629.5934275,458.3460754,472.0224799,318.4191783
2085,629.4403729,458.1908309,471.867086,318.2511169
2095,629.2873682,458.0356361,471.7116921,318.0833791
2105,629.1344132,457.8805906,471.5564475,317.91594
2115,628.9815578,457.7255949,471.4012527,317.7488243
2125,628.8287522,457.5706987,471.2461575,317.5820322
2135,628.676046,457.4159021,471.0911618,317.4155388
2145,628.5233897,457.2612051,470.9362656,317.249344
2155,628.3707832,457.1066076,470.7814192,317.0834976
2165,628.2182762,456.9520598,470.6266724,316.9179249
2175,628.0658189,456.7976117,470.4720251,316.7526758
2185,627.9134115,456.643263,470.3174774,316.5877254
2195,627.7610538,456.4890139,470.1629794,316.4230736
2205,627.6087956,456.3348146,470.008581,316.2587453
2215,627.456637,456.1807646,469.8542821,316.0947156
2225,627.3044785,456.0267644,469.7000828,315.9310095
2235,627.1524194,455.8728637,469.5459333,315.767602
2245,627.0004101,455.7190626,469.3918833,315.6045181
2255,626.8485004,455.5653112,469.2379328,315.4417577
2265,626.6966405,455.4117092,469.0840819,315.2793208
2275,626.5448303,455.2581569,468.9302808,315.1172074
2285,626.3931197,455.1047042,468.7765792,314.9554176
2295,626.2414588,454.9513511,468.6229772,314.7939762
2305,626.0898477,454.7980974,468.4694747,314.6328832
2315,625.9383362,454.6449434,468.3160718,314.4721386
2325,625.7868744,454.4918391,468.1627186,314.3117176
2335,625.6354625,454.3388841,468.009465,314.1516698
2345,625.48415,454.1859789,467.8563109,313.9919705
2355,625.3328874,454.0331733,467.7032564,313.8326445
2365,625.1817242,453.8804672,467.5502517,313.6736669
2375,625.0306109,453.7278606,467.3973962,313.5150626
2385,624.8795473,453.5753038,467.2445906,313.3568067
2395,624.7285335,453.4228964,467.0918845,313.198949
2405,624.5776193,453.2705387,466.9392281,313.0414397
2415,624.4267548,453.1182805,466.7867211,312.8843286
2425,624.2759899,452.9661219,466.6342639,312.7275908
2435,624.1252748,452.8140629,466.4819062,312.5712015
2445,623.9746094,452.6620536,466.3296481,312.4152103
2455,623.8240435,452.5101937,466.1774397,312.2596173
2465,623.6735275,452.3583835,466.0253807,312.1043976
2475,623.5230612,452.2067227,465.8733714,311.9495512
2485,623.3726945,452.0551116,465.7214617,311.7951279
2495,623.2223775,451.9036,465.5696515,311.6410779
2505,623.0721601,451.7521881,465.4179409,311.4874261
2515,622.9219925,451.6008258,465.26628,311.3341974
2525,622.7718746,451.449613,465.1147685,311.1813669
2535,622.6218563,451.2984996,464.9633067,311.0289345
2545,622.4718877,451.1474361,464.8119445,310.8769004
2555,622.321969,450.996472,464.6606321,310.7252893
2565,622.1721498,450.8456076,464.509469,310.5741013
2575,622.0223803,450.6948426,464.3584054,310.4233115
2585,621.8727104,450.5441773,464.2073916,310.2729447
2595,621.7230405,450.3936114,464.0564774,310.1229762
2605,621.5735199,450.2431451,463.9056627,309.9734307
2615,621.4239993,450.0927286,463.7548977,309.8242835
2625,621.2745783,449.9424615,463.6042821,309.6755593
2635,621.1252568,449.792244,463.4537163,309.5272333
2645,620.9759354,449.642176,463.3032998,309.3793054
2655,620.8267632,449.4921576,463.1529331,309.2317758
2665,620.677591,449.3422389,463.0026659,309.0846444
2675,620.5285184,449.1924196,462.8524485,308.9378862
2681.506024,619.4740101,448.1333819,461.7908225,307.8906449
2684.518072,617.5231249,446.1775194,459.8296341,305.9606647
2687.53012,615.5843348,444.2384803,457.8847218,304.0552231
2690.542169,613.657789,442.3164142,455.9562846,302.1747927
2693.554217,611.7436867,440.4115698,454.0444719,300.3197968
2696.566265,609.8420278,438.5242458,452.1495325,298.4906833
2699.578313,607.9529617,436.6545418,450.2717153,296.6879251
2702.590361,606.0766875,434.8027563,448.4111696,294.9119949
2705.60241,604.2132052,432.9691382,446.5681444,293.1633408
2708.614458,602.3627138,431.1538867,444.7428385,291.4424605
2711.626506,600.525313,429.3572507,442.9355011,289.7498019
2714.638554,598.701152,427.5794291,441.1463311,288.0858877
2717.650602,596.8902806,425.8206709,439.3755276,286.4511659
2720.662651,595.0928481,424.0812747,437.6233893,284.8460844
2723.674699,593.3090039,422.3613898,435.8900655,283.271116
2726.686747,591.5388475,420.661315,434.1758549,281.7266839
2729.698795,589.7825282,418.981299,432.4809068,280.2132609
2732.710843,588.0401456,417.321516,430.8054699,278.7313448
2735.722892,586.3117992,415.6822399,429.1497933,277.2814083
2738.73494,584.5976881,414.0637443,427.514076,275.8639243
2741.746988,582.8978621,412.4662782,425.8986167,274.4793906
2744.759036,581.2125203,410.8900407,424.3035646,273.1282552
2747.771084,579.5417125,409.3352805,422.7292184,271.8110157
2750.783133,577.8855879,407.8022964,421.1757275,270.5281451
2753.795181,576.2442959,406.2912625,419.6433904,269.280141
2756.807229,574.6179859,404.8025024,418.1324561,268.0674266
2759.819277,573.0067075,403.3361904,416.6430988,266.8905493
2762.831325,571.41066,401.8926249,415.1755921,265.7499074
2765.843373,569.8299427,400.4720301,413.7301353,264.6460235
2768.855422,568.2646554,399.0746548,412.307002,263.5793703
2771.86747,566.7149971,397.7007229,410.9063914,262.5504209
2774.879518,565.1810175,396.3505083,409.5285274,261.5596977
2777.891566,563.6628659,395.0242349,408.1736589,260.607624
2780.903614,562.1607416,393.7221764,406.8420348,259.6947222
2783.915663,560.6746942,392.444532,405.5338293,258.8214155
2786.927711,559.2048731,391.1915506,404.2493161,257.9881767
2789.939759,557.7513777,389.9635058,402.9887193,257.1954539
2792.951807,556.3144073,388.7605968,401.7522627,256.4436949
2795.963855,554.8940614,387.5830476,400.5401207,255.7333477
2798.975904,553.4904394,386.4311319,399.3525918,255.0648603
2801.987952,552.1036908,385.3050489,398.1898503,254.4385313
2805,550.7339151,384.2050224,397.0520953,253.8547341
2808.012048,549.3812615,383.1313014,395.9396005,253.313817
2811.024096,548.0458795,382.0841098,394.8525401,252.8161036
2814.036145,546.7278686,381.0636219,393.7911381,252.3618926
2817.048193,545.427378,380.0700865,392.7555936,251.9514576
2820.060241,544.1444576,379.1037277,391.7461057,251.5850475
2823.072289,542.8793562,378.1647444,390.7628735,251.2629113
2826.084337,541.6321236,377.253311,389.8061459,250.985248
2829.096386,540.4028594,376.3696513,388.8760472,250.7522319
2832.108434,539.1917129,375.5139894,387.9728265,250.5640121
2835.120482,537.9988333,374.6864498,387.0966329,250.4206635
2838.13253,536.8243203,373.8872812,386.2476656,250.3223104
2841.144578,535.6683231,373.1166579,385.4261237,250.2461814
2844.156627,534.5308916,372.3747043,384.6321316,250.1228916
2847.168675,533.4122249,371.6616445,383.8659133,249.963466
2850.180723,532.3123726,370.9776525,383.1276181,249.7849522
2853.192771,531.2315339,370.322853,382.4173954,249.5989723
2856.204819,530.1697088,369.697395,381.7353944,249.4125942
2859.216867,529.1270965,369.1014779,381.0818142,249.2298745
2862.228916,528.1037963,368.535201,380.4567545,249.0534013
2865.240964,527.0999578,367.9987138,379.8603645,248.8841454
2868.253012,526.1155808,367.4921407,379.2927935,248.7224801
2871.26506,525.1509142,367.015631,378.7541661,248.5684052
2874.277108,524.2059581,366.5692593,378.2446065,248.4218212
2877.289157,523.2808618,366.1531999,377.7642144,248.282579
2880.301205,522.3757247,365.7674776,377.3131142,248.150529
2883.313253,521.4906465,365.4122418,376.8914303,248.0254474
2886.325301,520.6257765,365.0875671,376.4992375,247.9071599
2889.337349,519.7811146,364.7935531,376.1366351,247.7954674
2892.349398,518.95686,364.5302247,375.803698,247.6902953
2895.361446,518.1530625,364.2977062,375.5005256,247.5914445
2898.373494,517.3698215,364.0960227,375.2271926,247.4987905
2901.385542,516.6072367,363.9252238,374.9837488,247.412184
2904.39759,515.8654076,363.7853842,374.770244,247.33165
2907.409639,515.1444337,363.676504,374.5867279,247.2574372
2910.421687,514.4443648,363.5707844,374.4332752,247.1905661
2913.433735,513.7653005,363.4131755,374.3099108,247.1341723
2916.445783,513.1072905,363.2036028,374.1630531,247.0979619
2919.457831,512.4704841,362.9518966,373.9629374,247.1116746
2922.46988,511.8549312,362.6859052,373.7335298,247.2691838
2925.481928,511.2607312,362.4902443,373.563378,247.7616212
2928.493976,511.5551932,362.6149775,373.7068013,248.6700184
2930,513.0090867,363.2540237,374.3588882,249.3911168
